smiles,zero_point_energy
CCCNC(C#C)C#N,0.157147
N=C1NN=CC(=O)O1,0.073666
CCC1(C)NC1C#CC,0.191688
C1CC23CC4OC2C4N13,0.150361
OCC(O)C(=N)NC=O,0.135757
CNC1=C(N=NN1)C#C,0.112665
CC(C)C#CC1CN1,0.164625
COC1CC2OC3C2C13,0.160059
N=COC1C2C3CC2C13,0.148141
NC1(C#N)C2CC1N2,0.120792
CCC12C(CC1O)N2C,0.192612
CC1C2OC2C11CCO1,0.158389
OCC12CC1NC2C#N,0.136218
CC1(O)C(O)C1(N)C#N,0.132965
CCC1(CC(C)=O)CN1,0.192351
N=C1OCC=C1CC#N,0.113637
CC(C)CCN1CC1C,0.238636
CC(C)C(C=O)C1CN1,0.192245
C1NC1C#CC1CCC1,0.171815
CC12NC1CCC2(C)O,0.193943
CC(O)C12CN1C(=O)C2,0.146397
CCC(C(C)=O)C(C)=O,0.177856
CCC1CC2C(C)C2C1,0.230166
C1OC23CCC4C2OC134,0.136872
CCCCC(CC)=NO,0.214836
C1CC2CCOC(C1)C2,0.211338
CC12C3CC(C1O3)C2=O,0.136654
O=CC12CC3C(CC13)O2,0.136473
NC1=CC(CO)=NO1,0.107472
CCN1N=NC=C1O,0.119514
COC(C)C(=O)CC#C,0.154104
COC1COCC1(C)O,0.180404
CC1(O)C=CCC11CN1,0.171337
O=C1C2CC(O2)C2CN12,0.12667
CC12NC1CCOC2=O,0.148897
COC1C=CC(C)C1=O,0.157433
OC1C2CC1C2OC=O,0.135388
CC12CC1(OC=N2)C#C,0.122979
OCC1C2OC1C2C#C,0.133949
CC1(C)CC2COC12C,0.204469
CC1OCC(C=C1)C#N,0.148405
CC1=C(N)N=C(N1)C#N,0.114179
CC#CC(C)=NO,0.110277
CC(C=O)N(C)CC=O,0.166139
C1OC11C2C3C1N=CN23,0.11416
CCC#CC1C(C)N1C,0.191701
C1C2C3COC4C1C4C23,0.163797
CCOC(=NC)C(C)O,0.190986
CC12CC(C1)C1(CO1)C2,0.183483
N=C1OC(=NC=C1)C#C,0.089476
CC1(C)C2OC1(C)C2O,0.17929
CC1C2N1C(=N)C2(C)O,0.157592
CNC1=NC(C)=NN1,0.132108
CC1C2OC3CC3OC12,0.159619
CC1NC1CO,0.131723
OC1CC2NC2C1=O,0.11978
O=CC1CC=CN1C=O,0.123927
CC12CC(O)C1OCO2,0.158976
CC(=O)C1CC1N1CC1,0.169259
CC1=COC(=O)N=C1O,0.101324
CC1CN2CC2CC1O,0.195852
OC1CC11C=CC2OC12,0.13585
NC1=NOC=C1C1CC1,0.137508
OCC1(CC(=O)C1)C=O,0.133265
CC1CC1C1=CC=NO1,0.148561
OC12CC(C1)C1OC21,0.131751
OC1C2C3C2N2C3C12,0.120987
CC1=CC2(CC2)NC1=O,0.147378
OC12C=CCC1C2C=O,0.135113
CC1(NC1CCO)C#N,0.157848
CC#CC1OC2CC12,0.129217
CC1CC2CC(O2)C1=O,0.160648
C1C2CC3=CC=CN3C12,0.15167
C1OC=NCCN=CO1,0.137668
CC1(O)C2C3OC1C23O,0.133851
CC12CC3OCC1C23O,0.159605
CC#CC1=C(O)N=CN1,0.113215
CC1(C)C2C3CC=C1C23,0.182068
CCC1(CCCO)CC1,0.227429
C1CC1C1COC11CC1,0.182345
CC1=C(CO)C2OC2C1,0.158195
CC1C2CC3CC2(C)C13,0.207702
C1COC2=NON=C2O1,0.09141
CC1=CC=CCCC1O,0.183461
CNC1=CC(=O)CC1,0.142623
C1OC1C12CCC1CO2,0.159399
CCN=C1OC(=O)C=C1,0.124237
N#CC12C=CC3NC1C23,0.114767
CCC12CC1(C)C(C)C2,0.227803
OC1(C=O)C2COCC12,0.135571
N=C1OC2C3CCC12O3,0.124695
OC1C2OCC11COC21,0.137736
O=C1CCC2CCC2O1,0.161622
N=C1CC2(COC2)CO1,0.149011
